symbol,name,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,open,previous_close,days_range,52_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange,employees,website
NFLX,"Netflix, Inc.",823.96,352.21B,37.59B,7.78B,427.46M,17.65,46.67,36.04,n/a,n/a,"3,639,691",832.04,837.26,816.49 - 832.04,445.73 - 841.00,1.25,Buy,764.41 (-7.23%),"Oct 17, 2024",Entertainment,Communication Services,"May 23, 2002",NASDAQ,"13,000",https://www.netflix.com
CRM,"Salesforce, Inc.",325.26,310.95B,36.47B,5.63B,956.00M,5.74,56.63,31.04,$1.60 (0.49%),"Sep 18, 2024","7,080,938",326.93,331.65,324.26 - 330.03,212.00 - 348.86,1.29,Buy,323.55 (-0.53%),"Dec 3, 2024",Software - Application,Technology,"Jun 23, 2004",NYSE,"72,682",https://www.salesforce.com
ABBV,AbbVie Inc.,164.99,291.56B,55.53B,5.08B,1.77B,2.87,57.49,13.79,$6.56 (3.98%),"Jan 15, 2025","9,316,308",169.63,169.63,164.73 - 169.63,137.14 - 207.32,0.61,Strong Buy,206.00 (+24.86%),"Oct 30, 2024",Drug Manufacturers - General,Healthcare,2012,NYSE,"50,000",https://www.abbvie.com
CVX,Chevron Corporation,161.42,290.09B,191.69B,16.68B,1.80B,9.06,17.81,15.22,$6.52 (4.04%),"Nov 18, 2024","6,638,672",161.52,161.80,160.76 - 162.38,135.37 - 167.11,1.08,Buy,174.27 (+7.96%),"Nov 1, 2024",Oil & Gas Integrated,Energy,1879,NYSE,"45,600",https://www.chevron.com
TMUS,"T-Mobile US, Inc.",235.61,273.42B,80.01B,10.37B,1.16B,8.76,26.90,22.49,$3.52 (1.49%),"Nov 27, 2024","3,676,059",238.12,237.75,235.05 - 239.18,147.12 - 242.44,0.50,Strong Buy,237.40 (+0.76%),"Oct 23, 2024",Telecom Services,Communication Services,1994,NASDAQ,"67,000",https://www.t-mobile.com
KO,The Coca-Cola Company,61.74,265.96B,46.37B,10.41B,4.31B,2.41,25.63,21.17,$1.94 (3.14%),"Nov 29, 2024","19,908,510",62.49,62.55,61.39 - 62.62,56.70 - 73.53,0.62,Buy,71.81 (+16.31%),"Oct 23, 2024",Beverages - Non-Alcoholic,Consumer Staples,"Sep 5, 1919",NYSE,"79,100",https://www.coca-colacompany.com
WFC,Wells Fargo & Company,74.34,247.51B,77.88B,16.97B,3.33B,4.79,15.53,14.08,$1.60 (2.15%),"Nov 8, 2024","18,792,616",73.00,72.80,72.90 - 74.41,42.15 - 74.41,1.14,Buy,62.46 (-15.98%),"Oct 11, 2024",Banks - Diversified,Financials,1852,NYSE,"226,000",https://www.wellsfargo.com
MRK,"Merck & Co., Inc.",96.31,243.63B,63.17B,12.15B,2.53B,4.78,20.15,10.57,$3.08 (3.20%),"Sep 16, 2024","16,260,515",97.92,98.36,94.48 - 97.92,94.48 - 134.63,0.41,Buy,132.08 (+37.14%),"Oct 31, 2024",Drug Manufacturers - General,Healthcare,2000,NYSE,"72,000",https://www.merck.com
CSCO,"Cisco Systems, Inc.",57.46,229.31B,52.98B,9.39B,3.99B,2.33,24.69,15.58,$1.60 (2.79%),"Oct 2, 2024","27,901,726",57.51,57.92,57.23 - 58.10,44.50 - 59.38,0.82,Buy,59.42 (+3.41%),"Nov 13, 2024",Communication Equipment,Technology,"Feb 16, 1990",NASDAQ,"84,900",https://www.cisco.com
BX,Blackstone Inc.,181.41,221.61B,11.14B,2.22B,1.22B,2.90,62.62,32.57,$3.44 (1.90%),"Oct 28, 2024","2,869,362",180.14,181.21,179.77 - 183.00,103.07 - 184.34,1.48,Buy,156.28 (-13.85%),"Oct 17, 2024",Asset Management,Financials,"Jun 22, 2007",NYSE,"4,735",https://www.blackstone.com
ADBE,Adobe Inc.,503.37,221.58B,20.95B,5.36B,440.20M,11.81,42.61,25.31,n/a,n/a,"4,576,640",520.30,529.87,498.81 - 524.50,433.97 - 638.25,1.30,Buy,605.96 (+20.38%),"Dec 11, 2024",Software - Infrastructure,Technology,"Aug 20, 1986",NASDAQ,"29,945",https://www.adobe.com
ACN,Accenture plc,353.57,220.93B,64.90B,7.26B,624.86M,11.44,30.92,27.60,$5.92 (1.67%),"Oct 10, 2024","3,096,534",360.28,362.07,348.90 - 360.31,278.69 - 387.51,1.24,Buy,369.85 (+4.6%),"Dec 19, 2024",Information Technology Services,Technology,1989,NYSE,"733,000",https://www.accenture.com
AMD,"Advanced Micro Devices, Inc.",134.90,218.92B,24.30B,1.83B,1.62B,1.13,119.57,29.59,n/a,n/a,"43,768,322",136.42,138.84,133.65 - 137.35,116.37 - 227.30,1.71,Strong Buy,195.77 (+45.12%),"Oct 29, 2024",Semiconductors,Technology,"Sep 27, 1972",NASDAQ,"26,000",https://www.amd.com
PEP,"PepsiCo, Inc.",158.62,217.62B,91.92B,9.36B,1.37B,6.78,23.40,18.65,$5.44 (3.43%),"Sep 6, 2024","9,018,895",164.33,165.15,158.05 - 164.38,158.03 - 183.41,0.54,Buy,184.00 (+16.0%),"Oct 8, 2024",Beverages - Non-Alcoholic,Consumer Staples,1898,NASDAQ,"318,000",https://www.pepsico.com
MS,Morgan Stanley,134.06,215.98B,58.28B,10.62B,1.61B,6.57,20.42,17.41,$3.70 (2.76%),"Oct 31, 2024","4,975,213",133.37,132.43,132.54 - 134.40,76.33 - 134.91,1.34,Buy,111.69 (-16.69%),"Oct 16, 2024",Capital Markets,Financials,1924,NYSE,"80,000",https://www.morganstanley.com
LIN,Linde plc,449.10,213.84B,33.03B,6.38B,476.16M,13.18,34.08,27.15,$5.56 (1.24%),"Dec 3, 2024","2,405,372",451.07,453.49,446.90 - 451.33,396.07 - 487.49,0.95,Buy,491.90 (+9.53%),"Oct 31, 2024",Specialty Chemicals,Materials,1879,NASDAQ,"66,323",https://www.linde.com
MCD,McDonald's Corporation,292.63,209.70B,25.94B,8.25B,716.62M,11.39,25.69,23.77,$7.08 (2.42%),"Dec 2, 2024","4,035,342",297.72,298.56,289.75 - 299.50,243.53 - 317.90,0.74,Buy,319.64 (+9.23%),"Oct 29, 2024",Restaurants,Consumer Discretionary,1940,NYSE,"150,000",https://www.mcdonalds.com
NOW,"ServiceNow, Inc.","1,011.39",208.67B,10.46B,1.34B,206.32M,6.43,157.38,64.53,n/a,n/a,"1,244,036","1,023.97","1,039.80","1,003.01 - 1,029.73","637.99 - 1,061.66",0.99,Buy,966.93 (-4.4%),"Oct 23, 2024",Software - Application,Technology,"Jun 29, 2012",NYSE,"22,668",https://www.servicenow.com
DIS,The Walt Disney Company,115.08,208.40B,91.36B,4.97B,1.81B,2.72,42.31,21.16,$0.90 (0.78%),"Jul 8, 2024","28,834,788",110.25,109.12,110.25 - 115.19,83.91 - 123.74,1.40,Strong Buy,123.87 (+7.64%),"Nov 14, 2024",Entertainment,Communication Services,"Nov 12, 1957",NYSE,"225,000",https://thewaltdisneycompany.com
AXP,American Express Company,286.87,202.08B,59.24B,9.76B,704.44M,13.58,21.13,20.06,$2.80 (0.98%),"Oct 4, 2024","2,614,346",288.00,288.30,285.50 - 290.55,159.91 - 296.83,1.21,Hold,255.25 (-11.02%),"Oct 18, 2024",Credit Services,Financials,1850,NYSE,"74,600",https://www.americanexpress.com
ABT,Abbott Laboratories,115.90,201.02B,41.22B,5.74B,1.73B,3.29,35.23,22.93,$2.20 (1.90%),"Oct 15, 2024","4,971,712",114.87,115.03,114.45 - 116.35,98.95 - 121.64,0.72,Buy,129.25 (+11.52%),"Oct 16, 2024",Medical Devices,Healthcare,1888,NYSE,"114,000",https://www.abbott.com
PM,Philip Morris International Inc.,128.59,199.94B,37.22B,9.81B,1.55B,6.30,20.41,18.15,$5.40 (4.20%),"Sep 26, 2024","9,065,265",128.39,128.20,128.39 - 130.15,87.82 - 134.15,0.56,Buy,125.13 (-2.69%),"Oct 22, 2024",Tobacco,Consumer Staples,1987,NYSE,"82,700",https://www.pmi.com
TMO,Thermo Fisher Scientific Inc.,513.08,196.25B,42.37B,6.14B,382.50M,15.95,32.16,22.47,$1.56 (0.30%),"Sep 13, 2024","3,295,789",529.40,533.02,511.71 - 529.40,464.17 - 627.88,0.79,Strong Buy,651.56 (+26.99%),"Oct 23, 2024",Diagnostics & Research,Healthcare,1956,NYSE,"122,000",https://www.thermofisher.com
GS,"The Goldman Sachs Group, Inc.",593.54,195.40B,49.39B,11.42B,329.22M,34.06,17.43,14.60,$12.00 (2.02%),"Aug 30, 2024","1,602,600",593.36,588.61,587.09 - 595.14,334.55 - 607.15,1.34,Buy,535.75 (-9.74%),"Jan 15, 2025",Capital Markets,Financials,"May 3, 1999",NYSE,"45,300",https://www.goldmansachs.com
INTU,Intuit Inc.,687.87,192.80B,16.29B,2.96B,280.29M,10.43,65.95,35.57,$4.16 (0.60%),"Oct 10, 2024","1,794,598",691.16,700.76,680.22 - 692.85,554.02 - 714.78,1.25,Buy,734.56 (+6.79%),"Nov 21, 2024",Software - Application,Technology,"Mar 12, 1993",NASDAQ,"18,200",https://www.intuit.com
GE,General Electric Company,176.93,191.49B,69.95B,6.24B,1.08B,5.68,35.37,36.44,$1.12 (0.63%),"Sep 26, 2024","4,612,314",176.75,178.40,175.89 - 177.92,94.31 - 194.80,1.19,Strong Buy,196.05 (+10.81%),"Oct 22, 2024",Aerospace & Defense,Industrials,1892,NYSE,"125,000",https://www.geaerospace.com
IBM,International Business Machines Corporation,204.99,189.54B,62.58B,6.40B,924.65M,6.86,30.00,19.69,$6.68 (3.26%),"Nov 12, 2024","3,982,615",207.46,208.99,204.07 - 208.49,152.35 - 237.37,0.71,Hold,208.07 (+1.5%),"Oct 23, 2024",Information Technology Services,Technology,1911,NYSE,"282,200",https://www.ibm.com
ISRG,"Intuitive Surgical, Inc.",527.61,187.92B,7.87B,2.24B,356.18M,6.22,84.86,70.33,n/a,n/a,"1,445,125",533.21,537.80,526.71 - 536.98,304.50 - 544.38,1.39,Buy,497.62 (-5.68%),"Oct 17, 2024",Medical Instruments & Supplies,Healthcare,"Jun 13, 2000",NASDAQ,"13,676",https://www.intuitive.com
CAT,Caterpillar Inc.,384.07,185.43B,65.66B,10.68B,482.80M,21.54,17.83,18.02,$5.64 (1.47%),"Oct 21, 2024","1,653,476",385.99,387.36,382.21 - 388.49,241.81 - 418.50,1.09,Hold,363.75 (-5.29%),"Oct 30, 2024",Farm & Heavy Construction Machinery,Industrials,1925,NYSE,"113,200",https://www.caterpillar.com
TXN,Texas Instruments Incorporated,201.12,183.47B,15.71B,4.94B,912.22M,5.38,37.39,36.29,$5.44 (2.71%),"Oct 31, 2024","5,968,463",203.85,206.00,200.29 - 204.77,151.27 - 220.39,0.98,Hold,203.86 (+1.36%),"Oct 22, 2024",Semiconductors,Technology,1930,NASDAQ,"34,000",https://www.ti.com
QCOM,QUALCOMM Incorporated,160.50,178.32B,38.96B,10.14B,1.11B,8.97,17.95,14.34,$3.40 (2.12%),"Dec 5, 2024","9,719,621",163.00,163.97,159.60 - 164.33,125.67 - 230.63,1.29,Buy,211.04 (+31.49%),"Nov 6, 2024",Semiconductors,Technology,"Dec 13, 1991",NASDAQ,"50,000",https://www.qualcomm.com
VZ,Verizon Communications Inc.,41.65,175.33B,134.24B,9.80B,4.21B,2.31,18.01,8.87,$2.71 (6.51%),"Oct 10, 2024","17,263,120",40.80,40.87,40.80 - 41.77,36.08 - 45.36,0.42,Buy,46.00 (+10.44%),"Oct 22, 2024",Telecom Services,Communication Services,"Jul 3, 2000",NYSE,"105,400",https://www.verizon.com
DHR,Danaher Corporation,230.50,166.48B,23.74B,3.89B,722.28M,5.24,43.48,28.69,$1.08 (0.47%),"Sep 27, 2024","4,584,133",236.15,239.38,229.00 - 237.43,206.30 - 281.70,0.88,Buy,287.12 (+24.56%),"Oct 22, 2024",Diagnostics & Research,Healthcare,1969,NYSE,"63,000",https://www.danaher.com
BKNG,Booking Holdings Inc.,"4,975.19",164.66B,23.05B,5.04B,33.10M,145.91,34.10,24.53,$35.00 (0.70%),"Dec 6, 2024","234,447","4,970.00","4,970.98","4,932.50 - 4,979.78","3,079.50 - 5,069.44",1.38,Buy,"4,708.87 (-5.35%)","Oct 30, 2024",Travel Services,Consumer Discretionary,"Mar 30, 1999",NASDAQ,"23,600",https://www.bookingholdings.com
CMCSA,Comcast Corporation,42.88,164.08B,123.07B,14.68B,3.83B,3.70,11.58,9.94,$1.24 (2.89%),"Jan 8, 2025","18,159,644",43.48,43.48,42.58 - 43.82,36.43 - 47.11,1.00,Buy,47.72 (+11.29%),"Oct 31, 2024",Telecom Services,Communication Services,"Jun 29, 1972",NASDAQ,"186,000",https://corporate.comcast.com
T,AT&T Inc.,22.68,162.74B,122.06B,8.85B,7.18B,1.23,18.48,10.10,$1.11 (4.89%),"Oct 10, 2024","30,132,052",22.24,22.25,22.20 - 22.75,15.84 - 22.75,0.73,Buy,23.38 (+3.09%),"Oct 23, 2024",Telecom Services,Communication Services,1983,NYSE,"149,900",https://www.att.com
BLK,"BlackRock, Inc.","1,047.37",162.22B,19.36B,6.07B,154.88M,40.52,25.85,22.47,$20.40 (1.95%),"Sep 9, 2024","583,360","1,038.49","1,047.08","1,038.49 - 1,052.51","712.11 - 1,068.34",1.31,Strong Buy,"1,019.62 (-2.65%)","Jan 10, 2025",Asset Management,Financials,"Oct 1, 1999",NYSE,"19,800",https://www.blackrock.com
RTX,RTX Corporation,118.53,157.77B,79.04B,4.72B,1.33B,3.51,33.75,20.28,$2.52 (2.13%),"Nov 15, 2024","6,969,152",118.15,118.29,117.14 - 118.85,78.00 - 128.70,0.54,Buy,131.43 (+10.88%),"Oct 22, 2024",Aerospace & Defense,Industrials,1934,NYSE,"185,000",https://www.rtx.com
NEE,"NextEra Energy, Inc.",76.35,157.01B,26.25B,6.95B,2.06B,3.38,22.62,21.98,$2.06 (2.70%),"Nov 22, 2024","8,339,001",75.45,75.28,75.29 - 76.69,53.95 - 86.10,0.56,Buy,86.07 (+12.73%),"Oct 23, 2024",Utilities - Regulated Electric,Utilities,1925,NYSE,"9,500",https://www.nexteraenergy.com
SPGI,S&P Global Inc.,503.29,156.00B,13.77B,3.55B,309.97M,11.32,44.47,31.19,$3.64 (0.72%),"Nov 26, 2024","1,133,518",506.15,510.64,502.06 - 510.79,401.79 - 533.29,1.18,Buy,581.25 (+15.49%),"Oct 24, 2024",Financial Data & Stock Exchanges,Financials,1860,NYSE,"40,450",https://www.spglobal.com
UBER,"Uber Technologies, Inc.",73.25,154.24B,41.96B,4.40B,2.11B,2.02,36.27,33.87,n/a,n/a,"20,952,534",72.10,71.44,71.80 - 73.63,53.76 - 87.00,1.34,Strong Buy,90.06 (+22.95%),"Oct 31, 2024",Software - Application,Technology,"May 10, 2019",NYSE,"30,400",https://www.uber.com
LOW,"Lowe's Companies, Inc.",269.40,152.83B,84.02B,6.91B,567.29M,12.06,22.35,22.45,$4.60 (1.71%),"Oct 23, 2024","1,865,096",269.90,270.35,268.51 - 271.95,196.23 - 287.01,1.10,Buy,272.84 (+1.28%),"Nov 19, 2024",Home Improvement Retail,Consumer Discretionary,1946,NYSE,"284,000",https://www.lowes.com
AMGN,Amgen Inc.,283.61,152.45B,32.53B,4.23B,537.53M,7.83,36.21,13.74,$9.00 (3.17%),"Nov 18, 2024","5,323,910",291.50,295.93,279.62 - 291.50,260.52 - 346.85,0.60,Buy,334.58 (+17.97%),"Oct 30, 2024",Drug Manufacturers - General,Healthcare,1980,NASDAQ,"26,700",https://www.amgen.com
PGR,The Progressive Corporation,255.78,149.84B,71.96B,8.08B,585.81M,13.76,18.59,19.22,$0.40 (0.16%),"Oct 3, 2024","2,731,090",260.08,257.50,253.01 - 260.92,149.14 - 263.85,0.37,Buy,259.06 (+1.28%),"Oct 15, 2024",Insurance - Property & Casualty,Financials,1937,NYSE,"61,400",https://www.progressive.com
PLTR,Palantir Technologies Inc.,65.77,149.83B,2.65B,476.57M,2.28B,0.20,314.38,144.42,n/a,n/a,"148,096,269",61.01,59.18,60.91 - 66.00,15.66 - 66.00,2.70,Hold,32.25 (-50.97%),"Nov 4, 2024",Software - Infrastructure,Technology,"Sep 30, 2020",NYSE,"3,735",https://www.palantir.com
HON,Honeywell International Inc.,228.99,148.90B,37.85B,5.68B,650.25M,8.65,26.46,21.28,$4.52 (1.97%),"Nov 15, 2024","3,669,505",229.00,229.54,228.39 - 231.20,189.66 - 242.77,1.02,Buy,241.45 (+5.44%),"Oct 24, 2024",Conglomerates,Industrials,1885,NASDAQ,"95,000",https://www.honeywell.com
SYK,Stryker Corporation,390.08,148.70B,21.97B,3.59B,381.22M,9.33,41.82,29.64,$3.20 (0.82%),"Sep 30, 2024","2,069,891",381.99,383.28,380.21 - 391.93,285.79 - 392.70,0.92,Buy,395.42 (+1.37%),"Oct 29, 2024",Medical Devices,Healthcare,1941,NYSE,"26,700",https://www.stryker.com
SCHW,The Charles Schwab Corporation,80.64,147.62B,18.74B,4.69B,1.83B,2.56,31.50,22.14,$1.00 (1.24%),"Nov 8, 2024","9,371,843",80.15,80.19,79.89 - 80.99,55.42 - 82.50,0.95,Buy,75.73 (-6.09%),"Oct 15, 2024",Capital Markets,Financials,"Sep 22, 1987",NYSE,"33,000",https://www.schwab.com
UNP,Union Pacific Corporation,235.57,142.82B,24.29B,6.64B,606.26M,10.88,21.65,20.12,$5.36 (2.28%),"Aug 30, 2024","1,639,627",234.88,235.58,234.00 - 237.83,216.92 - 258.66,1.06,Buy,259.80 (+10.29%),"Oct 24, 2024",Railroads,Industrials,1862,NYSE,"32,973",https://www.up.com
ETN,Eaton Corporation plc,358.99,141.87B,24.61B,3.77B,395.20M,9.40,38.19,30.59,$3.76 (1.05%),"Nov 4, 2024","1,895,705",358.12,361.86,355.38 - 361.22,224.52 - 373.49,1.01,Buy,357.72 (-0.35%),"Oct 31, 2024",Specialty Industrial Machinery,Industrials,1916,NYSE,"93,781",https://www.eaton.com
PFE,Pfizer Inc.,24.80,140.54B,59.38B,4.25B,5.67B,0.74,33.14,10.11,$1.68 (6.77%),"Nov 8, 2024","119,162,694",25.70,26.02,24.48 - 25.70,24.48 - 31.54,0.61,Buy,33.17 (+33.75%),"Oct 29, 2024",Drug Manufacturers - General,Healthcare,1849,NYSE,"88,000",https://www.pfizer.com
AMAT,"Applied Materials, Inc.",168.88,139.23B,27.18B,7.18B,824.40M,8.61,19.61,17.69,$1.60 (0.95%),"Nov 21, 2024","16,241,873",168.34,186.00,167.50 - 174.07,141.94 - 255.89,1.55,Buy,218.68 (+29.49%),"Nov 14, 2024",Semiconductor Equipment & Materials,Technology,1967,NASDAQ,"34,000",https://www.appliedmaterials.com
TJX,"The TJX Companies, Inc.",119.97,135.31B,55.62B,4.76B,1.13B,4.13,29.02,27.70,$1.50 (1.25%),"Nov 14, 2024","5,102,735",119.73,119.91,119.47 - 120.61,87.44 - 122.10,0.89,Buy,127.53 (+6.3%),"Nov 20, 2024",Apparel Retail,Consumer Discretionary,1962,NYSE,"349,000",https://www.tjx.com
