symbol,name,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,open,previous_close,days_range,52_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange,employees,website
V,Visa Inc.,311.82,611.09B,35.93B,19.46B,1.96B,9.73,32.05,27.80,$2.36 (0.76%),"Nov 12, 2024","6,623,142",314.20,313.19,311.54 - 314.50,251.61 - 314.50,0.95,Buy,320.56 (+2.8%),"Oct 29, 2024",Credit Services,Financials,"Mar 19, 2008",NYSE,"31,600",https://www.visa.com
UNH,UnitedHealth Group Incorporated,606.79,558.42B,393.90B,14.32B,920.28M,15.38,39.44,20.73,$8.40 (1.38%),"Sep 16, 2024","2,414,044",608.24,605.83,598.88 - 608.47,436.38 - 630.73,0.59,Strong Buy,606.32 (-0.08%),"Jan 10, 2025",Healthcare Plans,Healthcare,"Oct 17, 1984",NYSE,"440,000",https://www.unitedhealthgroup.com
ORCL,Oracle Corporation,190.37,527.53B,53.82B,10.98B,2.77B,3.88,49.06,29.58,$1.60 (0.84%),"Oct 10, 2024","6,147,463",188.32,187.99,188.32 - 192.40,99.26 - 196.04,1.01,Buy,175.13 (-8.01%),"Dec 9, 2024",Software - Infrastructure,Technology,"Mar 12, 1986",NYSE,"159,000",https://www.oracle.com
XOM,Exxon Mobil Corporation,117.97,518.49B,343.82B,33.70B,4.40B,8.03,14.70,15.06,$3.96 (3.36%),"Nov 14, 2024","13,945,859",119.53,119.97,117.85 - 119.68,95.77 - 126.34,0.88,Buy,130.22 (+10.38%),"Nov 1, 2024",Oil & Gas Integrated,Energy,1870,NYSE,"61,500",https://corporate.exxonmobil.com
MA,Mastercard Incorporated,528.48,485.02B,27.23B,12.32B,917.83M,13.23,39.95,33.66,$2.64 (0.50%),"Oct 9, 2024","2,099,328",527.90,526.60,525.06 - 530.65,404.32 - 534.03,1.10,Strong Buy,552.75 (+4.6%),"Oct 31, 2024",Credit Services,Financials,"May 25, 2006",NYSE,"33,400",https://www.mastercard.com
COST,Costco Wholesale Corporation,971.50,430.45B,254.45B,7.37B,443.07M,16.56,58.67,54.41,$4.64 (0.48%),"Nov 1, 2024","1,269,566",964.00,960.89,960.89 - 974.37,582.83 - 976.30,0.79,Buy,900.89 (-7.27%),"Dec 12, 2024",Discount Stores,Consumer Staples,"Sep 22, 1993",NASDAQ,"316,000",https://www.costco.com
HD,"The Home Depot, Inc.",429.52,426.67B,154.60B,14.61B,993.36M,14.72,29.18,27.54,$9.00 (2.10%),"Aug 29, 2024","2,514,899",428.60,428.67,424.70 - 439.37,308.59 - 439.37,1.01,Buy,423.96 (-1.29%),"Nov 12, 2024",Home Improvement Retail,Consumer Discretionary,"Sep 22, 1981",NYSE,"463,100",https://www.homedepot.com
PG,The Procter & Gamble Company,179.31,422.28B,83.91B,14.03B,2.36B,5.80,30.93,25.42,$4.03 (2.25%),"Oct 18, 2024","4,720,539",177.20,177.39,177.20 - 179.46,142.50 - 179.46,0.41,Buy,180.45 (+0.64%),"Jan 21, 2025",Household & Personal Products,Consumer Staples,1837,NYSE,"107,000",https://www.pginvestor.com
NFLX,"Netflix, Inc.",872.60,373.00B,37.59B,7.78B,427.46M,17.65,49.43,38.16,n/a,n/a,"2,947,102",867.49,865.59,867.25 - 886.36,445.73 - 908.00,1.25,Buy,775.62 (-11.11%),"Jan 21, 2025",Entertainment,Communication Services,"May 23, 2002",NASDAQ,"13,000",https://www.netflix.com
JNJ,Johnson & Johnson,154.52,372.03B,87.70B,14.68B,2.41B,6.04,25.57,15.30,$4.96 (3.21%),"Nov 26, 2024","4,208,475",155.16,154.54,153.16 - 155.25,143.13 - 168.85,0.52,Buy,175.64 (+13.67%),"Jan 22, 2025",Drug Manufacturers - General,Healthcare,"Sep 24, 1944",NYSE,"131,900",https://www.jnj.com
BAC,Bank of America Corporation,47.74,366.30B,94.63B,21.94B,7.67B,2.75,17.38,13.60,$1.04 (2.18%),"Dec 6, 2024","21,335,218",47.51,47.50,47.21 - 47.84,29.32 - 47.84,1.32,Buy,44.54 (-6.7%),"Jan 16, 2025",Banks - Diversified,Financials,1784,NYSE,"213,000",https://www.bankofamerica.com
CRM,"Salesforce, Inc.",343.18,328.08B,36.47B,5.63B,956.00M,5.74,59.75,32.76,$1.60 (0.47%),"Sep 18, 2024","4,283,775",341.98,339.11,339.14 - 343.81,212.00 - 348.86,1.29,Buy,339.56 (-1.05%),"Dec 3, 2024",Software - Application,Technology,"Jun 23, 2004",NYSE,"72,682",https://www.salesforce.com
ABBV,AbbVie Inc.,181.14,320.10B,55.53B,5.08B,1.77B,2.87,63.12,15.14,$6.56 (3.62%),"Jan 15, 2025","6,372,185",177.09,177.06,176.67 - 181.65,137.65 - 207.32,0.61,Strong Buy,206.00 (+13.72%),"Oct 30, 2024",Drug Manufacturers - General,Healthcare,2012,NYSE,"50,000",https://www.abbvie.com
CVX,Chevron Corporation,162.54,292.10B,191.69B,16.68B,1.80B,9.06,17.93,15.55,$6.52 (4.01%),"Nov 18, 2024","6,085,279",162.31,160.36,161.40 - 162.94,135.37 - 167.11,1.08,Buy,174.94 (+7.63%),"Nov 1, 2024",Oil & Gas Integrated,Energy,1879,NYSE,"45,600",https://www.chevron.com
TMUS,"T-Mobile US, Inc.",244.92,284.23B,80.01B,10.37B,1.16B,8.76,27.97,23.38,$3.52 (1.44%),"Nov 27, 2024","3,016,119",241.81,239.94,241.47 - 245.17,147.96 - 245.17,0.50,Strong Buy,237.40 (-3.07%),"Oct 23, 2024",Telecom Services,Communication Services,1994,NASDAQ,"67,000",https://www.t-mobile.com
KO,The Coca-Cola Company,64.55,278.07B,46.37B,10.41B,4.31B,2.41,26.79,22.15,$1.94 (3.01%),"Nov 29, 2024","11,936,542",64.31,64.38,64.06 - 64.64,57.47 - 73.53,0.62,Buy,72.33 (+12.05%),"Oct 23, 2024",Beverages - Non-Alcoholic,Consumer Staples,"Sep 5, 1919",NYSE,"79,100",https://www.coca-colacompany.com
WFC,Wells Fargo & Company,77.35,257.54B,77.88B,16.97B,3.33B,4.79,16.16,14.65,$1.60 (2.07%),"Nov 8, 2024","16,805,006",77.50,76.90,76.36 - 78.13,42.79 - 78.13,1.14,Buy,63.42 (-18.01%),"Oct 11, 2024",Banks - Diversified,Financials,1852,NYSE,"226,000",https://www.wellsfargo.com
MRK,"Merck & Co., Inc.",101.62,257.06B,63.17B,12.15B,2.53B,4.78,21.26,11.16,$3.08 (3.03%),"Sep 16, 2024","6,687,225",101.48,101.16,99.70 - 101.70,94.48 - 134.63,0.41,Buy,132.08 (+29.97%),"Oct 31, 2024",Drug Manufacturers - General,Healthcare,2000,NYSE,"72,000",https://www.merck.com
CSCO,"Cisco Systems, Inc.",59.59,237.33B,52.98B,9.39B,3.98B,2.33,25.61,16.15,$1.60 (2.69%),"Jan 3, 2025","13,128,571",59.00,58.74,58.94 - 59.64,44.50 - 59.64,0.82,Buy,59.42 (-0.29%),"Nov 13, 2024",Communication Equipment,Technology,"Feb 16, 1990",NASDAQ,"84,900",https://www.cisco.com
BX,Blackstone Inc.,191.66,234.13B,11.14B,2.22B,1.22B,2.90,66.16,34.38,$3.44 (1.80%),"Oct 28, 2024","2,678,164",192.98,193.12,190.72 - 193.05,106.00 - 200.96,1.48,Buy,156.28 (-18.46%),"Oct 17, 2024",Asset Management,Financials,"Jun 22, 2007",NYSE,"4,735",https://www.blackstone.com
ADBE,Adobe Inc.,525.30,231.24B,20.95B,5.36B,440.20M,11.81,44.46,26.42,n/a,n/a,"2,267,605",519.95,518.73,516.36 - 525.76,433.97 - 638.25,1.30,Buy,605.96 (+15.36%),"Dec 11, 2024",Software - Infrastructure,Technology,"Aug 20, 1986",NASDAQ,"29,945",https://www.adobe.com
ACN,Accenture plc,363.18,226.94B,64.90B,7.26B,624.86M,11.44,31.76,28.27,$5.92 (1.63%),"Oct 10, 2024","1,675,482",361.99,361.29,360.62 - 364.53,278.69 - 387.51,1.24,Buy,369.85 (+1.84%),"Dec 19, 2024",Information Technology Services,Technology,1989,NYSE,"733,000",https://www.accenture.com
AMD,"Advanced Micro Devices, Inc.",137.72,223.49B,24.30B,1.83B,1.62B,1.13,122.07,30.15,n/a,n/a,"31,193,969",142.55,141.13,136.62 - 142.80,116.37 - 227.30,1.71,Strong Buy,195.77 (+42.15%),"Oct 29, 2024",Semiconductors,Technology,"Sep 27, 1972",NASDAQ,"26,000",https://www.amd.com
PEP,"PepsiCo, Inc.",162.16,222.48B,91.92B,9.36B,1.37B,6.78,23.93,19.08,$5.35 (3.30%),"Dec 6, 2024","4,586,831",163.27,163.05,161.90 - 163.68,155.85 - 183.41,0.54,Buy,184.00 (+13.47%),"Oct 8, 2024",Beverages - Non-Alcoholic,Consumer Staples,1898,NASDAQ,"318,000",https://www.pepsico.com
NOW,"ServiceNow, Inc.","1,070.07",220.77B,10.46B,1.34B,206.32M,6.43,166.51,68.28,n/a,n/a,"680,694","1,060.00","1,052.71","1,054.48 - 1,072.84","637.99 - 1,072.84",0.99,Buy,972.82 (-9.09%),"Oct 23, 2024",Software - Application,Technology,"Jun 29, 2012",NYSE,"22,668",https://www.servicenow.com
LIN,Linde plc,456.60,217.41B,33.03B,6.38B,476.16M,13.18,34.65,27.61,$5.56 (1.22%),"Dec 3, 2024","1,225,944",453.47,455.69,451.28 - 456.66,396.07 - 487.49,0.95,Buy,491.90 (+7.73%),"Oct 31, 2024",Specialty Chemicals,Materials,1879,NASDAQ,"66,323",https://www.linde.com
AXP,American Express Company,305.57,215.26B,59.24B,9.76B,704.44M,13.58,22.51,21.37,$2.80 (0.92%),"Oct 4, 2024","1,969,441",305.61,305.21,302.00 - 306.97,163.61 - 306.97,1.21,Hold,255.25 (-16.47%),"Oct 18, 2024",Credit Services,Financials,1850,NYSE,"74,600",https://www.americanexpress.com
MCD,McDonald's Corporation,296.33,212.36B,25.94B,8.25B,716.62M,11.39,26.02,24.08,$7.08 (2.39%),"Dec 2, 2024","1,557,168",297.00,296.19,294.83 - 297.28,243.53 - 317.90,0.74,Buy,319.64 (+7.87%),"Oct 29, 2024",Restaurants,Consumer Discretionary,1940,NYSE,"150,000",https://www.mcdonalds.com
IBM,International Business Machines Corporation,228.83,211.59B,62.58B,6.40B,924.65M,6.86,33.37,21.98,$6.68 (2.92%),"Nov 12, 2024","3,823,810",226.73,226.13,225.51 - 228.98,154.86 - 237.37,0.71,Hold,208.07 (-9.07%),"Oct 23, 2024",Information Technology Services,Technology,1911,NYSE,"282,200",https://www.ibm.com
MS,Morgan Stanley,131.28,211.50B,58.28B,10.62B,1.61B,6.57,19.99,17.04,$3.70 (2.82%),"Oct 31, 2024","7,607,098",130.75,133.66,128.53 - 131.79,76.33 - 136.24,1.34,Buy,116.33 (-11.39%),"Jan 16, 2025",Capital Markets,Financials,1924,NYSE,"80,000",https://www.morganstanley.com
DIS,The Walt Disney Company,115.45,209.07B,91.36B,4.97B,1.81B,2.72,42.44,21.26,$0.90 (0.78%),"Jul 8, 2024","5,059,099",116.00,116.00,115.45 - 116.42,83.91 - 123.74,1.40,Strong Buy,124.13 (+7.52%),"Nov 14, 2024",Entertainment,Communication Services,"Nov 12, 1957",NYSE,"225,000",https://thewaltdisneycompany.com
PM,Philip Morris International Inc.,132.28,205.67B,37.22B,9.81B,1.55B,6.30,21.00,18.74,$5.40 (4.08%),"Sep 26, 2024","3,210,822",130.73,130.71,130.53 - 132.94,87.82 - 134.15,0.56,Buy,125.13 (-5.41%),"Oct 22, 2024",Tobacco,Consumer Staples,1987,NYSE,"82,700",https://www.pmi.com
ABT,Abbott Laboratories,117.96,204.60B,41.22B,5.74B,1.73B,3.29,35.85,23.33,$2.20 (1.87%),"Oct 15, 2024","3,248,810",118.64,118.13,117.01 - 119.00,99.71 - 121.64,0.72,Buy,129.25 (+9.57%),"Oct 16, 2024",Medical Devices,Healthcare,1888,NYSE,"114,000",https://www.abbott.com
GE,General Electric Company,184.60,199.79B,69.95B,6.24B,1.08B,5.68,32.50,38.01,$1.12 (0.61%),"Sep 26, 2024","3,571,610",180.87,180.21,180.42 - 184.93,94.31 - 194.80,1.19,Strong Buy,196.05 (+6.2%),"Oct 22, 2024",Aerospace & Defense,Industrials,1892,NYSE,"125,000",https://www.geaerospace.com
GS,"The Goldman Sachs Group, Inc.",605.50,199.34B,49.39B,11.42B,329.22M,34.06,17.78,14.89,$12.00 (1.98%),"Aug 30, 2024","1,881,500",600.13,603.03,593.00 - 607.19,334.87 - 611.30,1.34,Buy,550.63 (-9.06%),"Jan 15, 2025",Capital Markets,Financials,"May 3, 1999",NYSE,"45,300",https://www.goldmansachs.com
CAT,Caterpillar Inc.,407.83,196.90B,65.66B,10.68B,482.80M,21.54,18.93,19.12,$5.64 (1.38%),"Oct 21, 2024","1,707,882",403.65,405.65,401.76 - 408.41,246.01 - 418.50,1.09,Hold,363.75 (-10.81%),"Oct 30, 2024",Farm & Heavy Construction Machinery,Industrials,1925,NYSE,"113,200",https://www.caterpillar.com
TMO,Thermo Fisher Scientific Inc.,512.98,196.21B,42.37B,6.14B,382.50M,15.95,32.16,22.47,$1.56 (0.30%),"Sep 13, 2024","1,683,573",514.20,514.20,507.27 - 514.20,480.57 - 627.88,0.79,Strong Buy,651.56 (+27.02%),"Oct 23, 2024",Diagnostics & Research,Healthcare,1956,NYSE,"122,000",https://www.thermofisher.com
ISRG,"Intuitive Surgical, Inc.",542.10,193.08B,7.87B,2.24B,356.18M,6.22,87.19,72.32,n/a,n/a,"1,073,754",542.06,536.55,537.28 - 545.00,304.50 - 552.00,1.39,Buy,507.90 (-6.31%),"Jan 21, 2025",Medical Instruments & Supplies,Healthcare,"Jun 13, 2000",NASDAQ,"13,676",https://www.intuitive.com
VZ,Verizon Communications Inc.,44.37,186.78B,134.24B,9.80B,4.21B,2.31,19.19,9.45,$2.71 (6.11%),"Oct 10, 2024","14,831,763",43.98,43.98,43.75 - 44.50,36.46 - 45.36,0.42,Buy,46.00 (+3.67%),"Oct 22, 2024",Telecom Services,Communication Services,"Jul 3, 2000",NYSE,"105,400",https://www.verizon.com
TXN,Texas Instruments Incorporated,200.95,183.31B,15.71B,4.94B,912.22M,5.38,37.36,36.26,$5.44 (2.71%),"Oct 31, 2024","4,923,405",206.00,202.93,199.15 - 206.91,151.27 - 220.39,0.98,Hold,204.36 (+1.7%),"Oct 22, 2024",Semiconductors,Technology,1930,NASDAQ,"34,000",https://www.ti.com
INTU,Intuit Inc.,638.83,178.89B,16.59B,2.92B,280.04M,10.28,62.14,32.39,$4.16 (0.65%),"Oct 10, 2024","1,607,127",633.00,634.62,630.33 - 641.42,557.29 - 714.78,1.25,Buy,726.45 (+13.72%),"Nov 21, 2024",Software - Application,Technology,"Mar 12, 1993",NASDAQ,"18,200",https://www.intuit.com
QCOM,QUALCOMM Incorporated,156.93,174.35B,38.96B,10.14B,1.11B,8.97,17.50,14.02,$3.40 (2.17%),"Dec 5, 2024","8,813,137",159.75,158.82,156.09 - 161.45,125.67 - 230.63,1.29,Buy,210.17 (+33.93%),"Nov 6, 2024",Semiconductors,Technology,"Dec 13, 1991",NASDAQ,"50,000",https://www.qualcomm.com
BKNG,Booking Holdings Inc.,"5,214.72",172.59B,23.05B,5.04B,33.10M,145.91,35.74,25.72,$35.00 (0.67%),"Dec 6, 2024","148,990","5,110.00","5,108.83","5,110.00 - 5,215.00","3,079.50 - 5,237.00",1.38,Buy,"4,741.77 (-9.07%)","Oct 30, 2024",Travel Services,Consumer Discretionary,"Mar 30, 1999",NASDAQ,"23,600",https://www.bookingholdings.com
DHR,Danaher Corporation,236.58,170.88B,23.74B,3.89B,722.28M,5.24,45.11,29.45,$1.08 (0.46%),"Sep 27, 2024","1,970,357",237.50,237.68,233.15 - 237.83,215.68 - 281.70,0.88,Buy,287.12 (+21.36%),"Oct 22, 2024",Diagnostics & Research,Healthcare,1969,NYSE,"63,000",https://www.danaher.com
T,AT&T Inc.,23.08,165.61B,122.06B,8.85B,7.18B,1.23,18.81,10.27,$1.11 (4.81%),"Oct 10, 2024","22,105,213",22.94,23.10,22.87 - 23.11,15.94 - 23.32,0.73,Buy,23.38 (+1.3%),"Jan 22, 2025",Telecom Services,Communication Services,1983,NYSE,"149,900",https://www.att.com
CMCSA,Comcast Corporation,42.64,163.16B,123.07B,14.68B,3.83B,3.70,11.52,9.89,$1.24 (2.91%),"Jan 8, 2025","15,324,307",43.00,43.20,42.44 - 43.26,36.43 - 47.11,1.00,Buy,47.84 (+12.2%),"Oct 31, 2024",Telecom Services,Communication Services,"Jun 29, 1972",NASDAQ,"186,000",https://corporate.comcast.com
SPGI,S&P Global Inc.,521.96,161.79B,13.77B,3.55B,309.97M,11.32,46.12,32.42,$3.64 (0.70%),"Nov 26, 2024","866,137",521.57,519.60,515.97 - 524.00,407.69 - 533.29,1.18,Buy,581.25 (+11.36%),"Oct 24, 2024",Financial Data & Stock Exchanges,Financials,1860,NYSE,"40,450",https://www.spglobal.com
RTX,RTX Corporation,120.61,160.53B,79.04B,4.72B,1.33B,3.51,34.34,20.64,$2.52 (2.09%),"Nov 15, 2024","2,883,115",118.87,118.65,118.59 - 121.04,79.57 - 128.70,0.54,Buy,131.43 (+8.97%),"Oct 22, 2024",Aerospace & Defense,Industrials,1934,NYSE,"185,000",https://www.rtx.com
NEE,"NextEra Energy, Inc.",77.49,159.35B,26.25B,6.95B,2.06B,3.38,22.96,22.48,$2.06 (2.66%),"Nov 22, 2024","5,411,733",77.00,76.64,76.47 - 77.78,53.95 - 86.10,0.56,Buy,86.33 (+11.41%),"Oct 23, 2024",Utilities - Regulated Electric,Utilities,1925,NYSE,"9,500",https://www.nexteraenergy.com
BLK,"BlackRock, Inc.","1,026.48",158.98B,19.36B,6.07B,154.88M,40.52,25.33,22.02,$20.40 (1.99%),"Sep 9, 2024","738,849","1,032.05","1,031.49","1,018.20 - 1,038.32","725.86 - 1,068.34",1.31,Strong Buy,"1,019.62 (-0.67%)","Jan 10, 2025",Asset Management,Financials,"Oct 1, 1999",NYSE,"19,800",https://www.blackrock.com
PGR,The Progressive Corporation,268.02,157.01B,71.96B,8.08B,585.81M,13.76,19.48,20.04,$0.40 (0.15%),"Oct 3, 2024","1,898,460",265.19,265.88,263.63 - 268.16,149.14 - 268.16,0.37,Buy,259.31 (-3.25%),"Oct 15, 2024",Insurance - Property & Casualty,Financials,1937,NYSE,"61,400",https://www.progressive.com
LOW,"Lowe's Companies, Inc.",274.40,155.04B,83.72B,6.84B,565.00M,11.98,22.91,22.38,$4.60 (1.68%),"Oct 23, 2024","1,595,612",274.63,275.32,270.97 - 274.78,196.32 - 287.01,1.10,Buy,278.46 (+1.48%),"Nov 19, 2024",Home Improvement Retail,Consumer Discretionary,1946,NYSE,"284,000",https://www.lowes.com
UBER,"Uber Technologies, Inc.",71.56,150.68B,41.96B,4.40B,2.11B,2.02,35.44,33.11,n/a,n/a,"12,931,969",73.49,73.42,71.34 - 73.50,54.84 - 87.00,1.34,Strong Buy,90.26 (+26.13%),"Oct 31, 2024",Software - Application,Technology,"May 10, 2019",NYSE,"30,400",https://www.uber.com
SCHW,The Charles Schwab Corporation,82.25,150.56B,18.74B,4.69B,1.83B,2.56,32.13,22.51,$1.00 (1.22%),"Nov 8, 2024","3,571,960",81.77,81.77,81.23 - 82.33,55.59 - 82.50,0.95,Buy,75.73 (-7.93%),"Jan 15, 2025",Capital Markets,Financials,"Sep 22, 1987",NYSE,"33,000",https://www.schwab.com
AMGN,Amgen Inc.,280.01,150.51B,32.53B,4.23B,537.53M,7.83,35.75,13.58,$9.00 (3.21%),"Nov 18, 2024","16,842,422",264.22,294.00,257.80 - 280.34,257.80 - 346.85,0.60,Buy,334.58 (+19.49%),"Oct 30, 2024",Drug Manufacturers - General,Healthcare,1980,NASDAQ,"26,700",https://www.amgen.com
HON,Honeywell International Inc.,230.40,149.82B,37.85B,5.68B,650.25M,8.65,26.62,21.46,$4.52 (1.96%),"Nov 15, 2024","3,093,774",231.80,230.60,229.85 - 232.50,189.66 - 242.77,1.02,Buy,241.45 (+4.8%),"Oct 24, 2024",Conglomerates,Industrials,1885,NASDAQ,"95,000",https://www.honeywell.com
PLTR,Palantir Technologies Inc.,65.74,149.76B,2.65B,476.57M,2.28B,0.20,328.97,144.58,n/a,n/a,"43,135,892",64.57,64.57,63.89 - 65.85,15.66 - 67.88,2.70,Hold,36.83 (-43.98%),"Nov 4, 2024",Software - Infrastructure,Technology,"Sep 30, 2020",NYSE,"3,735",https://www.palantir.com
ETN,Eaton Corporation plc,377.29,149.11B,24.61B,3.77B,395.20M,9.40,40.14,32.09,$3.76 (1.00%),"Nov 4, 2024","1,834,643",378.50,376.68,375.17 - 379.99,224.52 - 379.99,1.01,Buy,357.72 (-5.19%),"Oct 31, 2024",Specialty Industrial Machinery,Industrials,1916,NYSE,"93,781",https://www.eaton.com
UNP,Union Pacific Corporation,245.63,148.91B,24.29B,6.64B,606.26M,10.88,22.58,20.98,$5.36 (2.18%),"Aug 30, 2024","2,374,907",246.76,249.32,242.46 - 246.98,218.55 - 258.66,1.06,Buy,259.80 (+5.77%),"Oct 24, 2024",Railroads,Industrials,1862,NYSE,"32,973",https://www.up.com
SYK,Stryker Corporation,389.71,148.56B,21.97B,3.59B,381.22M,9.33,41.78,29.62,$3.20 (0.82%),"Sep 30, 2024","965,535",388.00,384.91,384.91 - 389.95,285.79 - 398.20,0.92,Buy,395.42 (+1.47%),"Oct 29, 2024",Medical Devices,Healthcare,1941,NYSE,"26,700",https://www.stryker.com
PFE,Pfizer Inc.,25.77,146.04B,59.38B,4.25B,5.67B,0.74,34.62,10.50,$1.68 (6.52%),"Nov 8, 2024","31,925,802",26.16,26.17,25.61 - 26.24,24.48 - 31.54,0.61,Buy,33.17 (+28.72%),"Oct 29, 2024",Drug Manufacturers - General,Healthcare,1849,NYSE,"88,000",https://www.pfizer.com
KKR,KKR & Co. Inc.,161.27,143.24B,27.82B,2.99B,888.23M,3.22,50.03,28.40,$0.70 (0.43%),"Nov 4, 2024","2,765,432",159.00,158.94,158.28 - 161.53,68.90 - 161.53,1.61,Strong Buy,148.06 (-8.19%),"Oct 24, 2024",Asset Management,Financials,"Jul 15, 2010",NYSE,"4,490",https://www.kkr.com
AMAT,"Applied Materials, Inc.",173.20,142.79B,27.18B,7.18B,824.40M,8.61,20.12,18.14,$1.60 (0.92%),"Nov 21, 2024","5,924,668",175.34,174.55,170.94 - 175.49,144.57 - 255.89,1.55,Buy,218.68 (+26.26%),"Nov 14, 2024",Semiconductor Equipment & Materials,Technology,1967,NASDAQ,"34,000",https://www.appliedmaterials.com
